"ID","tick","run","random_seed","Puntos","Orientacion","Velocidad","X","Y"
2,1.0,1,647199816,0.2,112.3696060013026,0.0,11.605500229611605,48.2271787580101
9,1.0,1,647199816,0.0,207.2824547302069,0.2,38.43790388677896,30.839186579903437
7,1.0,1,647199816,0.0,77.67237525433302,0.2,2.5573536143340543,36.268445856893734
6,1.0,1,647199816,0.0,152.96933675476248,0.2,34.543681200093964,29.013514150834894
8,1.0,1,647199816,0.0,49.575168143997224,0.2,18.3481563658804,12.271809328318627
5,1.0,1,647199816,0.0,139.10436786711216,0.2,21.004875381609494,25.5938625494827
4,1.0,1,647199816,0.0,65.15180379152298,0.2,10.760884937073689,20.642271686115617
3,1.0,1,647199816,0.0,128.57530558770338,0.2,4.117957552755181,8.741293332445748
1,1.0,1,647199816,0.0,273.9581681136042,0.2,28.858635470223682,42.98694376740242
10,1.0,1,647199816,0.0,205.2515872486134,0.2,15.432552624734795,22.703886700292124
2,2.0,1,647199816,0.30000000000000004,20.510007524862885,0.0,11.420898984005778,48.30413575977587
9,2.0,1,647199816,0.0,205.1179173306603,0.4,38.07572944653382,30.66939354461306
7,2.0,1,647199816,0.0,32.67237525433302,0.4,2.89406207716951,36.484379668639335
6,2.0,1,647199816,0.0,150.28518739664196,0.4,34.19627984204354,29.211787438054124
8,2.0,1,647199816,0.0,48.532572524146,0.4,18.61303403047603,12.571542247428898
5,2.0,1,647199816,0.0,94.10436786711216,0.4,20.97624598853399,25.992836681290928
4,2.0,1,647199816,0.0,23.81195059864512,0.4,11.126835128098534,20.80376613706945
3,2.0,1,647199816,0.0,128.57530558770338,0.4,3.868540471000385,9.054009048918267
1,2.0,1,647199816,0.0,318.9581681136042,0.4,29.16032762530205,42.72429981912992
10,2.0,1,647199816,0.0,203.81195059864513,0.4,15.06660243370995,22.542392249338292
2,3.0,1,647199816,0.4,1.4394793007522821,0.0,11.602905721822513,48.22122890005178
9,3.0,1,647199816,0.0,200.5924534319939,0.6000000000000001,37.514065924804996,30.458362531823063
7,3.0,1,647199816,0.0,347.672375254333,0.6000000000000001,3.4802277270594444,36.35627880646772
6,3.0,1,647199816,0.0,145.34962866970605,0.6000000000000001,33.70269774212925,29.552927747375968
8,3.0,1,647199816,0.0,46.16131527324307,0.6000000000000001,19.02861222916567,13.004317894587876
